geo_string,Longitude,Latitude
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58640386056578,36.054667498330836]}",111.58640386056578,36.054667498330836
"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.58191228414518,36.032209616227846]}",111.58191228414518,36.032209616227846
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.39900614373477,34.39727579913032]}",109.39900614373477,34.39727579913032
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14872635701533,35.21025113125849]}",107.14872635701533,35.21025113125849
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.51254404708374,34.37481791702733]}",107.51254404708374,34.37481791702733
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.42595560225834,34.41524210481271]}",109.42595560225834,34.41524210481271
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.22957473258612,34.630837773001396]}",107.22957473258612,34.630837773001396
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.11154525281654,34.0559159911649]}",109.11154525281654,34.0559159911649
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.69220710390766,34.35685161134494]}",107.69220710390766,34.35685161134494
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.63381661043991,34.4287168340745]}",107.63381661043991,34.4287168340745
"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.36756510879059,34.972197580966814]}",109.36756510879059,34.972197580966814
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.97966799482589,34.53202309174825]}",107.97966799482589,34.53202309174825
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.94822695988171,34.98118073380801]}",107.94822695988171,34.98118073380801
"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.18016739195951,34.496090480383465]}",107.18016739195951,34.496090480383465
"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.78815175053347,34.464649445439285]}",108.78815175053347,34.464649445439285
